,$,main,par_init,par_fin,key_init,key_fin,id,break_line,comma,number,texto,char,true,false,oper_asign,if,else,while,for,return,not,input,break,output,oper_suma,oper_dif,oper_mod,oper_div,oper_mult,and,or,oper_identico,oper_diferente,oper_mayor,oper_menor,oper_menorigu,oper_mayorigu,character,boolean,string,integer
S,,S ::= PROGRAM $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S ::= PROGRAM $,S ::= PROGRAM $,S ::= PROGRAM $,S ::= PROGRAM $
PROGRAM,,PROGRAM ::= FUNCS PRINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAM ::= FUNCS PRINC,PROGRAM ::= FUNCS PRINC,PROGRAM ::= FUNCS PRINC,PROGRAM ::= FUNCS PRINC
FUNCS,,FUNCS ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCS ::= FUN_DECL FUNCS,FUNCS ::= FUN_DECL FUNCS,FUNCS ::= FUN_DECL FUNCS,FUNCS ::= FUN_DECL FUNCS
PRINC,,PRINC ::= main par_init par_fin key_init BLOQUE key_fin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOQUE,,,,,,BLOQUE ::= ε,BLOQUE ::= LINEA LINEAS,,,,,,,,,BLOQUE ::= LINEA LINEAS,,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,,,,,,,,,,,,,,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS,BLOQUE ::= LINEA LINEAS
LINEAS,,,,,,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,,,,,,,,,LINEAS ::= BLOQUE,,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,,,,,,,,,,,,,,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE,LINEAS ::= BLOQUE
LINEA,,,,,,,LINEA ::= CALL_FUNC,,,,,,,,,LINEA ::= STAT,,LINEA ::= STAT,LINEA ::= STAT,LINEA ::= STAT,,LINEA ::= STAT,LINEA ::= STAT,LINEA ::= STAT,,,,,,,,,,,,,,LINEA ::= VAR_DECL,LINEA ::= VAR_DECL,LINEA ::= VAR_DECL,LINEA ::= VAR_DECL
CALL_FUNC,,,,,,,CALL_FUNC ::= id par_init PARAMS par_fin break_line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMS,,,,PARAMS ::= ε,,,PARAMS ::= VALOR_PARAM PARAM,,,PARAMS ::= VALOR_PARAM PARAM,PARAMS ::= VALOR_PARAM PARAM,PARAMS ::= VALOR_PARAM PARAM,PARAMS ::= VALOR_PARAM PARAM,PARAMS ::= VALOR_PARAM PARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAM,,,,PARAM ::= ε,,,,,PARAM ::= comma PARAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR_PARAM,,,,,,,VALOR_PARAM ::= id,,,VALOR_PARAM ::= number,VALOR_PARAM ::= texto,VALOR_PARAM ::= char,VALOR_PARAM ::= true,VALOR_PARAM ::= false,,,,,,,,,,,,,,,,,,,,,,,,,,,
